key,en,ko,ja,zh-cn,zh-tw,fr,de,es,es-419,pt-br,ru
"footer.copyright","Copyright 2026. Theremin Interactive Inc. All rights reserved.","Copyright 2026. Theremin Interactive Inc. All rights reserved.","Copyright 2026. Theremin Interactive Inc. All rights reserved.","Copyright 2026. Theremin Interactive Inc. All rights reserved.","Copyright 2026. Theremin Interactive Inc. All rights reserved.","Copyright 2026. Theremin Interactive Inc. All rights reserved.","Copyright 2026. Theremin Interactive Inc. All rights reserved.","Copyright 2026. Theremin Interactive Inc. All rights reserved.","Copyright 2026. Theremin Interactive Inc. All rights reserved.","Copyright 2026. Theremin Interactive Inc. All rights reserved.","Copyright 2026. Theremin Interactive Inc. All rights reserved."
"langSwitch.aria","Select language","언어 선택","言語を選択","选择语言","選擇語言","Choisir la langue","Sprache wählen","Seleccionar idioma","Seleccionar idioma","Selecionar idioma","Выбрать язык"
"prologue.heading","Prologue","프롤로그","プロローグ","序章","序章","Prologue","Prolog","Prólogo","Prólogo","Prólogo","Пролог"
"prologue.prevAria","Previous prologue","이전 프롤로그","前のプロローグ","上一篇序章","上一篇序章","Prologue précédent","Vorheriger Prolog","Prólogo anterior","Prólogo anterior","Prólogo anterior","Предыдущий пролог"
"prologue.nextAria","Next prologue","다음 프롤로그","次のプロローグ","下一篇序章","下一篇序章","Prologue suivant","Nächster Prolog","Prólogo siguiente","Prólogo siguiente","Próximo prólogo","Следующий пролог"
"prologue.openAria","View on Steam (opens in a new window)","Steam에서 보기 (새 창으로 열림)","Steamで見る（新しいウィンドウで開きます）","在Steam上查看（在新窗口中打开）","在Steam上查看（在新視窗中開啟）","Voir sur Steam (s'ouvre dans une nouvelle fenêtre)","Auf Steam ansehen (öffnet in einem neuen Fenster)","Ver en Steam (se abre en una ventana nueva)","Ver en Steam (se abre en una ventana nueva)","Ver na Steam (abre em uma nova janela)","Смотреть в Steam (откроется в новом окне)"
"prologue.item1.title","Rain, Neon, and the City of Beasts","비, 네온, 그리고 짐승들의 도시","雨とネオン、そして獣どもの都市","雨、霓虹与野兽之城","雨、霓虹與野獸之城","Pluie, néon et la cité des bêtes","Regen, Neon und die Stadt der Bestien","Lluvia, neón y la ciudad de las bestias","Lluvia, neón y la ciudad de las bestias","Chuva, neon e a cidade das bestas","Дождь, неон и город зверей"
"prologue.item2.title","An Arsenal Built with a Shattered Mind: 'Brandon' and the Memory Palace","부서진 정신으로 벼려낸 무기고: '브랜든'과 기억의 궁전","砕かれた心で鍛え上げた兵器庫——「ブランドン」と記憶の宮殿","以破碎心智锻造的军械库：“布兰登”与记忆宫殿","以破碎心智鍛造的軍械庫：「布蘭登」與記憶宮殿","Un arsenal forgé dans un esprit brisé : « Brandon » et le Palais des Mémoires","Ein Arsenal, geschmiedet aus einem zerbrochenen Geist: „Brandon“ und der Gedächtnispalast","Un arsenal forjado con una mente destrozada: “Brandon” y el Palacio de la Memoria","Un arsenal forjado con una mente destrozada: “Brandon” y el Palacio de la Memoria","Um arsenal forjado com uma mente destroçada: “Brandon” e o Palácio da Memória","Арсенал, выкованный сломленным разумом: «Брэндон» и Дворец памяти"
"footer.contactAria","Contact us","문의하기","お問い合わせ","联系我们","聯絡我們","Nous contacter","Kontakt","Contáctanos","Contáctanos","Fale conosco","Связаться с нами"
"footer.presskit","Press Kit","프레스킷","プレスキット","媒体资料包","媒體資料包","Dossier de presse","Pressemappe","Kit de prensa","Kit de prensa","Kit de imprensa","Пресс-кит"
"characters.heading","Characters","등장인물","登場人物","登场人物","登場人物","Personnages","Charaktere","Personajes","Personajes","Personagens","Персонажи"
"characters.comingSoon","Coming Soon","정보 공개 예정","情報公開予定","信息即将公开","資訊即將公開","Bientôt disponible","Demnächst verfügbar","Próximamente","Próximamente","Em breve","Скоро подробности"
"characters.prevAria","Previous character","이전 인물","前の人物","上一位角色","上一位角色","Personnage précédent","Vorheriger Charakter","Personaje anterior","Personaje anterior","Personagem anterior","Предыдущий персонаж"
"characters.nextAria","Next character","다음 인물","次の人物","下一位角色","下一位角色","Personnage suivant","Nächster Charakter","Personaje siguiente","Personaje siguiente","Próximo personagem","Следующий персонаж"
"characters.char1.name","Brandon","브랜든","ブランドン","布兰登","布蘭登","Brandon","Brandon","Brandon","Brandon","Brandon","Брэндон"
"characters.char2.name","Renfield","렌필드","Renfield","Renfield","Renfield","Renfield","Renfield","Renfield","Renfield","Renfield","Renfield"
"characters.char3.name","R","R","R","R","R","R","R","R","R","R","R"
"characters.char4.name","Madame Caren","마담 캐런","Madame Caren","Madame Caren","Madame Caren","Madame Caren","Madame Caren","Madame Caren","Madame Caren","Madame Caren","Madame Caren"
"characters.char5.name","Bruce","브루스","Bruce","Bruce","Bruce","Bruce","Bruce","Bruce","Bruce","Bruce","Bruce"
"characters.char6.name","Adrian","애드리언","Adrian","Adrian","Adrian","Adrian","Adrian","Adrian","Adrian","Adrian","Adrian"
"characters.char7.name","Ichi","이치","Ichi","Ichi","Ichi","Ichi","Ichi","Ichi","Ichi","Ichi","Ichi"
"characters.char8.name","Blacksmith","대장장이","鍛冶屋","铁匠","鐵匠","Forgeron","Schmied","Herrero","Herrero","Ferreiro","Кузнец"
"characters.char9.name","Unknown Swordsman","알려지지 않은 검객","正体不明の剣士","身份不明的剑客","身份不明的劍客","Épéiste inconnu","Unbekannter Schwertkämpfer","Espadachín desconocido","Espadachín desconocido","Espadachim desconhecido","Неизвестный мечник"
"characters.char10.name","Unknown Doctor","불명의 박사","正体不明の博士","身份不明的博士","身份不明的博士","Docteur inconnu","Unbekannter Doktor","Doctor desconocido","Doctor desconocido","Doutor desconhecido","Неизвестный доктор"
"characters.char11.name","Enes","에네스","Enes","Enes","Enes","Enes","Enes","Enes","Enes","Enes","Enes"
"characters.char12.name","Mysterious Being","의문의 존재","謎の存在","神秘的存在","神秘的存在","Être mystérieux","Mysteriöses Wesen","Ser misterioso","Ser misterioso","Ser misterioso","Загадочное существо"
"press.heading","In the Press","언론 보도","メディア掲載","媒体报道","媒體報導","Dans la presse","In der Presse","En la prensa","En la prensa","Na imprensa","В прессе"
"press.loadMore","Load More","더 보기","もっと見る","加载更多","載入更多","Voir plus","Mehr laden","Cargar más","Cargar más","Carregar mais","Показать ещё"
